group	value	gene_id
Background	-0.166642819	ENSG00000155957
Background	-0.185047165	ENSG00000135541
Background	-0.004745183	ENSG00000185404
Background	0.007833229	ENSG00000135622
Background	-0.057539164	ENSG00000163389
Background	0.021183655	ENSG00000129474
Background	0.828344611	ENSG00000103260
Background	-0.031383931	ENSG00000123104
Background	0.063759589	ENSG00000139668
Background	0.489527605	ENSG00000006025
Background	0.002489504	ENSG00000101333
Background	0.071738425	ENSG00000145882
Background	-0.062280209	ENSG00000196405
Background	-0.009361185	ENSG00000183309
Background	-0.064497232	ENSG00000162437
Background	0.057186332	ENSG00000174233
Background	0.061828893	ENSG00000188315
Background	0.378590397	ENSG00000151023
Background	0.213980928	ENSG00000140511
Background	-0.030380901	ENSG00000106603
Background	-0.006427427	ENSG00000154582
Background	0.070781328	ENSG00000172731
Background	-0.030029532	ENSG00000166704
Background	0.038483151	ENSG00000196511
Background	-0.130146975	ENSG00000091137
Background	0.061926721	ENSG00000119408
Background	-0.005338926	ENSG00000141664
Background	-0.044337253	ENSG00000151576
Background	-0.294775055	ENSG00000157429
Background	0.357461124	ENSG00000186716
Background	-0.205368896	ENSG00000139974
Background	-0.03526459	ENSG00000104381
Background	-0.038358857	ENSG00000114098
Background	-0.009599708	ENSG00000143951
Background	0.022741111	ENSG00000197496
Background	-0.026010722	ENSG00000186814
Background	0.169903143	ENSG00000153558
Background	-0.118124875	ENSG00000121417
Background	0.011213213	ENSG00000092964
Background	-0.048928067	ENSG00000105821
Background	0.029680758	ENSG00000163812
Background	-0.119739642	ENSG00000133739
Background	-0.045102626	ENSG00000144395
Background	0.068877543	ENSG00000035115
Background	0.00180125	ENSG00000151148
Background	0.034320329	ENSG00000006282
Background	0.133855377	ENSG00000020633
Background	0.070391489	ENSG00000205084
Background	-0.227300708	ENSG00000180190
Background	0.239508176	ENSG00000132205
Background	-0.13763409	ENSG00000127084
Background	-0.077609762	ENSG00000198920
Background	-0.032513851	ENSG00000150401
