"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"29306"	"0.293"	"0.0143738"	"-0.56937971"	"SLC26A7"
"2405"	"0.293"	"0.0143963"	"-0.62313751"	"GABRB3"
"24951"	"0.293"	"0.0144038"	"0.49532433"	"SECISBP2L"
"25827"	"0.293"	"0.0144215"	"-0.56299188"	""
"6793"	"0.293"	"0.0144352"	"0.46322261"	"THEMIS2"
"27924"	"0.293"	"0.0144656"	"-0.58812724"	"CFAP57"
"26627"	"0.293"	"0.0144776"	"-1.03342077"	""
"25657"	"0.293"	"0.0145071"	"-0.52948293"	"WEE2-AS1"
"39221"	"0.293"	"0.0145092"	"0.49886625"	"HBG1"
"29362"	"0.293"	"0.0145288"	"0.75325517"	"NPM2"
"34117"	"0.293"	"0.0145525"	"-0.51330949"	""
"15033"	"0.293"	"0.0145853"	"-0.62998327"	""
"25575"	"0.293"	"0.0145976"	"-1.27731466"	"COL1A2"
"10679"	"0.293"	"0.0146573"	"-0.60460124"	"CYP19A1"
"4643"	"0.293"	"0.0146992"	"-0.49595935"	"HSPA1L"
"16407"	"0.293"	"0.0147391"	"-0.66143195"	""
"42938"	"0.293"	"0.0147893"	"-0.503746"	""
"8159"	"0.293"	"0.0148019"	"-0.61452069"	"ESRRB"
"22012"	"0.293"	"0.0148126"	"-0.57846392"	"SERPIND1"
"36414"	"0.293"	"0.0148391"	"0.46543387"	"SIRPB1"
"31706"	"0.293"	"0.0148588"	"0.46130387"	"PAK6"
"13870"	"0.293"	"0.0148687"	"-0.65209461"	"RGSL1"
"23258"	"0.293"	"0.0148873"	"-0.60356275"	"LOC643733"
"21572"	"0.293"	"0.0149105"	"-1.67535482"	"UROC1"
"29230"	"0.293"	"0.0149247"	"-0.52839294"	""
"43894"	"0.293"	"0.0149476"	"0.60280614"	"PDXDC2P"
"21842"	"0.293"	"0.0149774"	"-0.58275769"	""
"23200"	"0.293"	"0.0150008"	"-0.5864061"	"S100A9"
"22833"	"0.293"	"0.0150309"	"-0.60284569"	"CCDC144NL-AS1"
"13836"	"0.293"	"0.015071"	"-0.5678212"	""
"2855"	"0.293"	"0.0150747"	"-0.49564539"	"KCTD4"
"29699"	"0.293"	"0.0150843"	"-0.95306792"	""
"36900"	"0.293"	"0.0151446"	"0.71593227"	"TTC22"
"8518"	"0.293"	"0.0151797"	"-0.48966343"	"ABCB1"
"38750"	"0.293"	"0.015191"	"-0.8389651"	"LOC286382"
"1078"	"0.293"	"0.0152183"	"0.36717256"	"JPH3"
"12039"	"0.293"	"0.0152252"	"-0.49837056"	"CLEC7A"
"29330"	"0.293"	"0.0152395"	"-1.03004542"	""
"8072"	"0.293"	"0.0152629"	"-0.63062131"	""
"37804"	"0.293"	"0.0152868"	"0.86429913"	"CMYA5"
"4430"	"0.293"	"0.0153209"	"0.38384712"	""
"26259"	"0.293"	"0.0153634"	"-0.58992307"	"FAM81B"
"7497"	"0.293"	"0.0153806"	"-0.63523007"	""
