"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"8088472"	"1"	"0.0203485"	"-4.98e-01"	""
"8126674"	"1"	"0.0203666"	"4.93e-01"	"TCTE1"
"7895407"	"1"	"0.0203832"	"-7.40e-01"	""
"7976012"	"1"	"0.0203857"	"-5.21e-01"	"NRXN3"
"7894454"	"1"	"0.0203975"	"-4.94e-01"	""
"8090664"	"1"	"0.0205193"	"-4.92e-01"	"ASTE1"
"7983775"	"1"	"0.0206542"	"5.89e-01"	""
"8029693"	"1"	"0.0206603"	"1.01"	"FOSB"
"8089203"	"1"	"0.0207189"	"-5.05e-01"	"SENP7"
"8003298"	"1"	"0.0207339"	"5.95e-01"	"SLC7A5"
"8027862"	"1"	"0.0208027"	"-5.91e-01"	"FFAR2"
"7980828"	"1"	"0.0208617"	"-6.26e-01"	"CCDC88C"
"8094938"	"1"	"0.0209428"	"5.79e-01"	"NIPAL1"
